Source,Dest,Dist,Calls,DweigthCalls
2A15,2A16,0.37533806382,64,24.02163608448
2A15,2A15,0.0,490,0.0
2A15,2F11,7.00535171906,55,385.2943445483
2A15,2A21,1.82752924319,135,246.71644783065003
2A15,2F10,6.46707931244,168,1086.46932448992
2A15,2A06,1.96271650275,1384,2716.399639806
2A15,2F12,6.65611393166,236,1570.84288787176
2A15,2A20,1.47253921189,216,318.06846976824
2A15,2A03,2.30129450844,504,1159.8524322537598
2A15,2A08,1.30257201749,321,418.12561761429
2A15,2A09,1.39377938869,187,260.63674568503
2A15,2A17,0.97518971011,423,412.50524737653
2A15,2A13,1.52964026549,462,706.6938026563801
2A15,2A14,0.573738465343,173,99.256754504339
2A15,2A11,2.01064067548,218,438.31966725463997
2A15,2A12,2.26811523517,948,2150.17324294116
2A15,2A04,2.88728910667,140,404.2204749338
2A15,2B01,2.37071899538,765,1813.6000314656999
2A15,2A28,4.23567124901,0,0.0
2A15,2A01,1.53468221813,529,811.84689339077
2A15,2A02,2.25970401534,1213,2741.02097060742
2A15,2A29,5.12284033371,0,0.0
2A15,2A19,2.42649543431,462,1121.04089065122
2A15,2A30,3.289874606205688,928,3053.0036345588787
2A15,2A05,3.506039685992616,31,108.68723026577109
2A15,2A07,1.8594295633,162,301.2275892546
2D13,2D05,0.850738703,406,345.399913418
2D13,2D11,2.14614653547,474,1017.27345781278
2D13,2D12,0.781597478662,666,520.543920788892
2D13,2D13,0.0,433,0.0
2D13,2C41,2.49940086972,121,302.42750523612
2D13,2D07,1.0644308959,114,121.3451221326
2D13,2D06,1.97101828968,168,331.13107266624
2D13,2D03,2.08643075987,239,498.65695160892994
2D13,2D02,1.12087165809,164,183.82295192676
2D13,2C39,2.93741995244,277,813.66532682588
2D13,2D18,1.64527024675,482,793.0202589335
2D13,2D04,1.37342232765,163,223.86783940695
2D13,2E29,9.33279422608,106,989.2761879644801
2D13,2E28,8.433524562382626,7,59.03467193667838
2D13,2C40,2.17226552065,142,308.4617039323
2D13,2C04,6.37358181879,0,0.0
2D13,2C08,5.73322175669,489,2803.54543902141
2D13,2D09,2.22794437848,563,1254.33268508424
2D13,2D01,1.91673336306,522,1000.53481551732
2D13,2D00,2.53637828548,711,1803.3649609762801
2D13,2C01,6.13090021735,42,257.4978091287
2D13,2D19,1.27219054787,250,318.0476369675
2D13,2D08,1.54672957089,530,819.7666725716999
2D13,2C00,5.46803367485,218,1192.0313411173
2D13,2C43,2.95020688601,321,947.01641040921
2D13,2C45,3.94343699002,1013,3994.7016708902597
2D13,2C16,6.4236856864,231,1483.8713935583999
2D13,2C12,5.368099192,96,515.337522432
2D13,2D14,1.91789910824,411,788.25653348664
2D13,2C33,3.45412440329,347,1198.58116794163
2D13,5C07,5.82595923265,0,0.0
2K04,2K02,1.04692579489,694,726.56650165366
2K04,2J16,1.47457958256,595,877.3748516232
2K04,2J15,0.416783391007,1074,447.625361941518
2K04,2L27,1.09697527615,791,867.70744343465
2K04,2K03,0.346610793592,805,279.02168884156
2K04,2K04,0.0,1239,0.0
2K04,2J13,0.795218349052,636,505.758869997072
2K04,2J11,1.39040027784,803,1116.49142310552
2K04,2J12,1.36821987014,607,830.50946117498
2K04,2J14,1.04373529913,1191,1243.08874126383
2K04,2L28,1.5233984638,287,437.2153591106
2K04,2L30,1.05542173531,669,706.07714092239
2K04,2L31,1.87066098554,302,564.93961763308
2K04,2L23,2.5741071109,396,1019.3464159164
2K04,2L24,2.99672997772,100,299.672997772
2K04,2K10,1.52726468183,913,1394.39265451079
2K04,2K08,0.917567226427,186,170.667504115422
2K04,2K07,1.190793962,527,627.548417974
2E22,2E04,1.82883421526,561,1025.97599476086
2E22,2E09,1.34397285509,246,330.61732235214004
2E22,2E10,1.45636100644,214,311.66125537816004
2E22,2E21,1.23545702359,102,126.01661640617999
2E22,2E20,0.82757725715,708,585.9246980621999
2E22,2F01,2.0700562535,1313,2717.9838608455
2E22,2F05,1.25705181256,2645,3324.9020442212004
2E22,2E22,0.0,2116,0.0
2E22,2E31,1.41379077486,460,650.3437564356
2E22,2E19,1.85669699776,66,122.54200185216
2E22,2E01,2.46581341337,612,1509.0778089824398
2E22,2E00,2.56710010555,585,1501.75356174675
2E22,2E18,1.93835714094,609,1180.45949883246
2E22,2F03,1.74919949649,357,624.4642202469299
2E22,2F07,1.33454292744,1192,1590.77516950848
2F19,2I17,6.14169039491,210,1289.7549829311001
2F19,2I22,6.74761296903,306,2064.76956852318
2F19,2I18,6.45106993105,145,935.40514000225
2F19,2G18,2.19277013411,249,545.99976339339
2F19,2G19,2.50179277584,638,1596.1437909859198
2F19,2H15,2.74927384938,124,340.90995732312
2F19,2H07,3.68774579028,629,2319.59210208612
2F19,2G15,2.76688529089,158,437.16787596062
2F19,2L00,0.412816745188,533,220.031325185204
2F19,2G23,0.828177364476,755,625.27391017938
2F19,2F08,2.17946249761,419,913.1947864985899
2F19,2L03,1.81401879255,206,373.6878712653
2F19,2F13,0.531180752739,377,200.255143782603
2F19,2G14,2.44981027744,136,333.17419773184
2F19,2L98,1.9970849617,263,525.2333449271
2F19,2L22,2.98935572231,569,1700.94340599439
2F19,2F18,0.805591265849,323,260.205978869227
2F19,2F19,0.0,1297,0.0
2F19,2J04,0.596280685406,939,559.907563596234
2F19,2F09,2.05601640269,193,396.81116571917
2F19,2G20,0.816101512415,151,123.231328374665
2F19,2G21,1.22954054386,267,328.28732521062
2F19,2F15,1.92778268064,324,624.60158852736
2F19,2L02,1.39979146148,381,533.32054682388
2F19,2L99,1.58341848971,452,715.70515734892
2F19,2G22,1.89532606454,238,451.08760336052
2F19,2F17,1.60685519099,221,355.11499720879
2F19,2F16,1.34452551857,275,369.74451760675
2F19,2L11,2.795528696352834,62,173.32277917387572
2F19,2F06,2.47168493579,188,464.67676792852
2C28,2C14,1.29556084203,573,742.35636248319
2C28,2B08,2.4058663112,246,591.8431125552
2C28,2C31,1.84937494213,319,589.9506065394701
2C28,2C27,1.78740102427,207,369.99201202389
2C28,2C36,0.740421903273,661,489.41887806345295
2C28,2C38,1.34090804941,247,331.20428820427003
2C28,2C29,0.699278261281,572,399.98716545273203
2C28,2C23,0.617705140393,104,64.241334600872
2C28,2C30,1.28705644834,269,346.21818460346
2C28,2C25,1.25264301938,170,212.9493132946
2C28,2C32,2.12844777192,232,493.79988308544
2C28,2C24,1.55794989082,202,314.70587794564
2C28,2C37,1.22183125959,781,954.2502137397901
2C28,2H04,6.44698001337,241,1553.72218322217
2C28,2H09,7.05096471505,131,923.67637767155
2C28,2H05,6.4413184878,210,1352.6768824380001
2C28,2C28,0.0,612,0.0
2C28,2C22,0.760049100855,173,131.488494447915
2C28,2C13,1.69757702507,326,553.4101101728199
2C28,2B06,1.32669840476,500,663.34920238
2C28,2C03,3.46960967207,42,145.72360622693998
2C28,2C15,3.62300802229,431,1561.5164576069901
2C28,2C42,2.5772751055,75,193.2956329125
2C28,2B10,1.2822667716,205,262.864688178
2C28,2B05,1.22921363422,148,181.92361786456
2C28,2B04,2.34164676326,134,313.78066627684
2C28,2C35,1.53259894088,205,314.1827828804
2C28,2B09,1.7989373093,339,609.8397478527
2C28,2C26,2.35097165567,186,437.28072795462
2C28,2C34,0.844592257035,195,164.695490121825
2C28,5C06,2.46768311432,26,64.15976097232
2C28,2C46,4.15131759138,360,1494.4743328968
2C28,2C02,2.91526986133,89,259.45901765837
2C28,2C44,3.10662923841,190,590.2595552979
2C28,2C47,4.13895857386,268,1109.2408977944801
2C28,2C05,4.03207908353,187,753.9987886201101
2C28,2C48,6.138559752383348,6,36.83135851430009
2C28,2C17,3.92933543126,226,888.0298074647601
2C28,2C10,3.44268247696,52,179.01948880192
2C28,2C09,2.95745480256,42,124.21310170752
2C28,2C20,3.1307714208,217,679.3773983136
2C28,5C01,2.91148366581,21,61.14115698201
2C28,2C07,2.15370528397,16,34.45928454352
2C28,2C50,2.66242510098,0,0.0
2C28,5C05,2.71918393943,111,301.82941727673
2C28,2C18,3.61932465109,0,0.0
2H23,2H21,2.02682861033,321,650.61198391593
2H23,2H29,1.01257840108,270,273.3961682916
2H23,2H16,2.3181003141,459,1064.0080441719
2H23,2H25,2.01330413234,327,658.35045127518
2H23,2H22,0.584939521677,249,145.649940897573
2H23,2H26,0.998946342276,464,463.511102816064
2H23,2H10,1.42972510013,881,1259.58781321453
2H23,2H08,2.38890060694,474,1132.3388876895601
2H23,2L08,1.8375986966,96,176.4094748736
2H23,2H17,1.14497123937,519,594.24007323303
2H23,2H28,1.67642567024,652,1093.02953699648
2H23,2L12,3.231480171868202,14,45.24072240615482
2H23,2H23,0.0,1232,0.0
2H23,2H18,0.827577060294,126,104.27470959704401
2H23,2H03,2.58687127286,87,225.05780073882
2H23,2L15,1.42066483045,1552,2204.8718168584
2H23,2L14,1.99019148798,483,961.26248869434
2H23,2L18,2.01544489581,190,382.9345302039
2H23,2H11,1.21476492859,711,863.69786422749
2H23,2H06,1.78585355633,311,555.4004560186299
2H23,2H20,2.92853420117,398,1165.5566120656601
2H23,2H19,1.78211252204,350,623.739382714
2H23,2L25,2.58847814367,642,1661.80296823614
2H23,2L16,2.74656474773,119,326.84120497987
2H23,2L17,2.90079309899,177,513.44037852123
2H23,2L09,2.19568031233,477,1047.33950898141
2H23,2H24,1.61163030864,143,230.46313413552
2A25,2E08,3.36192681316,119,400.06929076604
2A25,2E03,2.84796322327,195,555.35282853765
2A25,2B29,1.86801496969,351,655.67325436119
2A25,2B28,2.49821678798,269,672.02031596662
2A25,2A32,2.19738838339,248,544.9523190807199
2A25,2B22,1.82152755199,30,54.6458265597
2A25,2B24,1.50218252178,350,525.763882623
2A25,2B20,2.26346843413,168,380.26269693384
2A25,2B30,1.9388595711,366,709.6226030226001
2A25,2A23,0.898528418866,239,214.748292108974
2A25,2A24,0.60520665974,151,91.38620562074
2A25,2A31,1.77496172551,219,388.71661788669
2A25,2B16,1.49009828072,139,207.12366102008002
2A25,2B23,1.92197847706,210,403.6154801826
2A25,2E02,2.97202759206,491,1459.26554770146
2A25,2B02,1.86311964122,171,318.59345864862
2A25,2B03,2.41289147048,83,200.26999204984
2A25,2B17,1.20104101209,364,437.17892840075996
2A25,2B31,2.48310668836,403,1000.6919954090799
2A25,2B32,3.03595473515,208,631.4785849112
2A25,2B11,3.02419443572,230,695.5647202156
2A25,2A18,1.01356147704,798,808.82205867792
2A25,2B12,0.493562763621,649,320.322233590029
2A25,2B07,1.9143671389,1090,2086.660181401
2A25,2B13,1.37380039606,203,278.88148040018
2A25,2B19,2.1037974636,120,252.455695632
2A25,2B25,2.20065878455,168,369.71067580439995
2A25,2B26,2.40775847525,162,390.05687299050004
2A25,2B18,1.00651884573,746,750.86305891458
2A25,2B14,1.86372364372,234,436.11133263048
2A25,2A25,0.0,325,0.0
2A25,2B15,2.36554681633,258,610.31107861314
2A25,2A22,1.63898127768,210,344.1860683128
2A25,2A33,3.1263459226,380,1188.0114505880001
2E48,2E47,0.909914657523,382,347.587399173786
2E48,2E49,0.95002199384,441,418.95969928344
2E48,2E50,0.58480301102,508,297.07992959816
2E48,2E30,1.52088269529,194,295.05124288626
2E48,2J07,2.65270514428,618,1639.37177916504
2E48,2F14,1.89607249025,380,720.507546295
2E48,2J01,1.56065758426,643,1003.50282667918
2E48,2I07,2.4528743529049395,105,257.5518070550186
2E48,2E46,0.624527514846,203,126.779085513738
2E48,2J03,2.14140154385,404,865.1262237153999
2E48,2E17,2.74378555871,25,68.59463896775
2E48,2I04,2.12348001948,335,711.3658065258
2E48,2I02,2.2153116967202653,424,939.2921594093925
2E48,2E27,2.28074890901,6,13.68449345406
2E48,2E26,2.14617893661,0,0.0
2E48,2E32,2.2728011566,663,1506.8671668258
2E48,2E45,0.95105848338,223,212.08604179374
2E48,2I03,1.5482448857596975,527,815.9250547953606
2E48,2E48,0.0,1378,0.0
2E48,2I01,3.1338649782356875,742,2325.3278138508804
2E48,2I05,3.2815766318616597,109,357.6918528729209
2E48,2I06,3.274623289750951,116,379.8563016111103
2E48,2E98,3.73544273236,38,141.94682382968
2E48,2E99,3.41364898206,195,665.6615515016999
2E48,2E97,3.95104503674,888,3508.52799262512
2E48,2E15,6.77697853534,8,54.21582828272
2E48,2E44,1.75647802902,239,419.79824893578
2E48,2E43,3.752143489669035,0,0.0
2E48,2E42,6.77697853534,0,0.0
2I14,2I13,0.99764439951,232,231.45350068631998
2I14,2I09,0.950137098951,794,754.408856567094
2I14,2K01,1.14682733951,1100,1261.5100734609998
2I14,2K06,1.37994786982,774,1068.07965124068
2I14,2I12,1.70723696859,273,466.07569242507
2I14,2I16,2.53670046918,296,750.86333887728
2I14,2I08,1.74449937951,746,1301.39653711446
2I14,2I11,1.46110610187,336,490.93165022832
2I14,2I14,0.0,1973,0.0
2I14,2I15,2.65372049583,248,658.12268296584
2I14,2K09,1.84016709829,405,745.26767480745
2I14,2I10,2.4659178758,419,1033.2195899602
2I14,2I21,6.27631599574,267,1675.77637086258
2I14,2I20,1.5332451124,152,233.05325708479998
2I14,2I25,5.33181769715,883,4707.9950265834495
2I14,2I23,4.38385364554,221,968.8316556643401
2I14,2I19,3.03488161132,184,558.41821648288
2I14,2I24,3.31879230187,242,803.1477370525399
2I14,2K05,1.00649837454,1150,1157.473130721
2D16,2F02,1.34293374073,947,1271.75825247131
2D16,2B27,1.64705761329,243,400.23500002947003
2D16,2D10,1.24623063775,324,403.77872663100004
2D16,2F04,2.1573861817,188,405.58860215960004
2D16,2F00,0.728827548589,963,701.860929291207
2D16,2G07,2.0910894765,297,621.0535745205
2D16,2G06,1.28727916949,390,502.0388761011
2D16,2G10,1.36808281288,420,574.5947814096
2D16,2G03,1.13159755505,213,241.03027922565
2D16,2D15,1.19348274767,813,970.30147385571
2D16,2H02,3.58663064401,167,598.96731754967
2D16,2H13,5.82470195189,498,2900.70157204122
2D16,2H12,5.93425811304,174,1032.56091166896
2D16,2G01,0.293745174736,1051,308.72617864753596
2D16,2D17,0.559693045827,428,239.54862361395598
2D16,2D16,0.0,770,0.0
2D16,2A27,7.168025854067418,0,0.0
2D16,2G02,0.405600224802,1869,758.066820154938
2D16,5C03,7.04513330968,27,190.21859936136
2D16,2G00,1.46919097412,310,455.4492019772
2D16,2G04,1.71307655628,460,788.0152158888001
2D16,2C06,6.51215900748,26,169.31613419448001
2D16,2C11,7.18138168834,0,0.0
2D16,2A26,5.71777559042,0,0.0
2D16,2H14,6.23250001639,598,3727.0350098012204
2D16,5C02,6.81847846361,23,156.82500466303
2D16,2H01,3.53484140438,166,586.78367312708
2D16,2G08,2.64020188469,361,953.1128803730901
2L29,2J06,4.66250355501,250,1165.6258887525
2L29,2J10,3.59048733995,1283,4606.59525715585
2L29,2L13,4.17038438175,234,975.8699453295
2L29,2J05,4.95732142127,124,614.70785623748
2L29,2J02,5.09631601405,409,2084.3932497464502
2L29,2G11,5.4752489442,119,651.5546243598
2L29,2G09,5.64271352068,1,5.64271352068
2L29,2J08,3.97590029281,126,500.96343689406
2L29,2L06,4.04184552021,525,2121.96889811025
2L29,2G16,5.24546562639,1036,5434.302388940039
2L29,2G17,5.42554112133,1088,5902.98874000704
2L29,2J09,4.18785654346,941,3940.7730073958596
2L29,2G13,6.50692047844,58,377.40138774952
2L29,2G05,6.30075858153,312,1965.83667743736
2L29,2L07,3.80170138637,237,901.00322856969
2L29,2L10,5.23342335556,114,596.61026253384
2L29,2L01,5.21358158005,228,1188.6966002514
2L29,2H30,3.64899765966,609,2222.23957473294
2L29,2G12,5.50093470694,495,2722.9626799353
2L29,2L29,0.0,544,0.0
2L29,2H27,5.28826101633,733,3876.29532496989
2L29,2L32,0.960687666637,234,224.800913993058
